category,base_class,text
conversation,conversation,i believe i am smart but i am not sure i can give up eggs and fish.
conversation,conversation,you sound smart! lots of people have trouble giving up eggs and fish.
conversation,conversation,was it hard for you?
conversation,conversation,"not too bad. i distracted myself with my favorite things the color orang, roses, etc."
conversation,conversation,awesome for you but i will stick with the fish and eggs for now.
conversation,conversation,"i understand. so you are smart, not very tall, and have big cheeks?"
conversation,conversation,yeah and read. reading is what i do to relax.
conversation,conversation,hi there. i am a translator by trade.
conversation,conversation,"hey, how you doing? well, i am getting ready to go into college!"
conversation,conversation,i speak three languages but its not what i want to do for a living.
conversation,conversation,whoa? three? that is awesome! what languages do you speak?
conversation,conversation,spanish german and cantonese. i really want to be a writer.
conversation,conversation,"well, me i know un peu francais a little french but that is about it"
conversation,conversation,french is a beautiful language.
conversation,conversation,"wait, technically, you know four languages... if you count english."
conversation,conversation,indeed. which is the language i write in. my novel is almost done.
conversation,conversation,hey that is awesome! hope you find a publisher for it! or online
conversation,conversation,i quit my job to focus on finishing it. i am going to put it on amazon.
conversation,conversation,that is great! i hope it does really well. whats it about?
conversation,conversation,its about a boy who lives in the parks catacombs.
conversation,conversation,"oh neat, is it like a thriller or coming of age type story?"
conversation,conversation,i meant to say paris. and its a thriller. he scares tourists out of their valuables.
conversation,conversation,"oh wow, that sounds interesting. yeah, i have heard about the catacombs, spooky place!"
conversation,conversation,hi how are you today?
conversation,conversation,"awesome, i have an art class later, do you go to school?"
conversation,conversation,"oh fun, i slept in today woohoo! i do not go to school"
conversation,conversation,sounds great for you. i love school i am an artist
conversation,conversation,oh sounds fun. what do you do for fun?
conversation,conversation,i am a big fan of art. when i am not studying i check out museums
conversation,conversation,ohh. my two brothers are artistic.. not me though
conversation,conversation,"too bad. it is a great outlet, what do you do?"
conversation,conversation,i play football for fun. i grow vegetables since i am a vegan
conversation,conversation,food is a kind of art
conversation,conversation,i guess you could say that lol. are you married
conversation,conversation,"no time for that yet. but maybe one day, you?"
conversation,conversation,i have not met the one yet
conversation,conversation,when you do will the one need to be a vegan as well?
conversation,conversation,that would be nice. i am sure we will adapt if love at first sight happens though
conversation,conversation,well good luck. you have to put yourself out there though
conversation,conversation,"hello, how are you? i am doing well, just listening to classical music."
conversation,conversation,"hello, i am sarah, i am well, and you?"
conversation,conversation,hi sarah. do you like to golf? its one of my fads.
conversation,conversation,"i am a 5th. grade teacher near oakville, ny, i hate golf"
conversation,conversation,the law firm i work for just promoted me. they are a large one.
conversation,conversation,i do enjoy watching gold and tennis but not playing it
conversation,conversation,"are you married? i am, with three kids."
conversation,conversation,"nope, i really love to read and i love to relax a bit"
conversation,conversation,i really love doing my work.
conversation,conversation,usually by the lake on the weekends
conversation,conversation,"cool, well have a good one. bye."
conversation,conversation,"i like goobers and popcorn with soda, do you?"
conversation,conversation,hi names seth and i became a vegan
conversation,conversation,cool i try to pay attention to what i eat also.
conversation,conversation,yeah same here. my smartphones ring a lot. for work and personal i have two
conversation,conversation,what is your favorite food? mine is veggie pizza.
conversation,conversation,i enjoy greek vegan penne while watching pretty woman
conversation,conversation,good movie! i love italian food.
conversation,conversation,yeah?! what do you like on your italian food. i work as a registered nurse
conversation,conversation,"awesome, i like anything italian really."
conversation,conversation,really!! well that is awesome!
conversation,conversation,what is your ethnic back round? mine is east asian
conversation,conversation,i am also asian.
conversation,conversation,wow we have so many similarities!
conversation,conversation,yeah well this is why we are here to get to know each other.
conversation,conversation,"very true, what are your hobbies? i enjoy crafting."
conversation,conversation,besides movies i also crochet
conversation,conversation,that sounds fun! do you make blankets?
conversation,conversation,i like country. do you like that music?
conversation,conversation,"i do, whats your favorite aside from that?"
conversation,conversation,i love celtic as well.
conversation,conversation,where do you work at?
conversation,conversation,i do not work yet. i want to be a singer.
conversation,conversation,that sounds nice. keep practicing
conversation,conversation,i do that every day.
conversation,conversation,good for you! my mom works in the school system
conversation,conversation,awesome. i have a collie dog named tibby.
conversation,conversation,i do not have any pets i want some
conversation,conversation,i love animals. tibby is great.
conversation,conversation,do you live in a big city?
conversation,conversation,no. i live near farms.
conversation,conversation,oh my vestie lives in a huge town
conversation,conversation,hi how are you today?
conversation,conversation,i am good just listening to the radio. spotify radio based on drake. how about you?
conversation,conversation,"awesome watching flash, he is my favorite of the super heros"
conversation,conversation,do you enjoy cooking or going out to eat more?
conversation,conversation,"i like both equally i would say, and you?"
conversation,conversation,i like both but a dinner i do not have to clean up after is a real treat
conversation,conversation,very true! what is your favorite season? mine is summer.
conversation,conversation,"i think fall, i enjoy making fall season dishes."
conversation,conversation,"cool, i can only type with one hand."
conversation,conversation,what has happen to your other hand?
conversation,conversation,i hit all the wrong keys with it
conversation,conversation,my goodness! can you play any instruments? i play drums in a band
conversation,conversation,"i do not, but my favorite insect is butterflies!"
conversation,conversation,butterflies are a beautiful creation for sure!
conversation,conversation,"they are, even though i love summer i hate summer dresses"
conversation,conversation,summer dresses are not bad for date night dinners. what do you wear then?
conversation,conversation,hi how are you doing? i like to work out do you?
conversation,conversation,"org, i saw justin bieber, the artist, he is my favorite!!!"
conversation,conversation,wow wished i could have seen him that must have been awesome.
conversation,conversation,"i love when i go horseback riding, its like i work out"
conversation,conversation,i work out as much as i can and sometimes i do not get enough.
conversation,conversation,"i am a proud mother of two handsome boys, and you?"
conversation,conversation,yes i am a proud mother of one beautiful daughter.
conversation,conversation,"i take my family camping just about every month, wanna go?"
conversation,conversation,i wished i could i bet you have an awesome time.
conversation,conversation,"we live in aruba, in a van down by the river"
conversation,conversation,wow i am all the way in jersey. i love learning new things.
conversation,conversation,"jersey, like jersey shore? girl we need to hook up, get our hair did"
conversation,conversation,yes i wished we could how far is aruba never been that far.
conversation,conversation,"i will ship you some moon fish, in a box with ice on it"
conversation,conversation,oh that is sweet thank you so much enjoy your night. sweetie.
conversation,conversation,"1, 921 miles to be exact"
conversation,conversation,that is very long ways along from where i am.
conversation,conversation,"later gator, after while crocodile, not to soon baboon"
conversation,conversation,d. c is crazy polarized these days.
conversation,conversation,i bet!
conversation,conversation,you would win.
conversation,conversation,what do you do on your spare time?
conversation,conversation,nationals baby! love the game.
conversation,conversation,i am a professional horse racing handicapper!
conversation,conversation,i work for gov cannot say which agency
conversation,conversation,i am raising money to open my horse racing teaching program
conversation,conversation,cool! you on kick starter or something?
conversation,conversation,something like that
conversation,conversation,"careful, i understand there are some real legal pitfall with those crowd sourcing sights"
conversation,conversation,yeah definitely!
conversation,conversation,hi how are you today
conversation,conversation,"hi, i just love the farm life!"
conversation,conversation,hi how are you today
conversation,conversation,i am fine thank you. i cant wait for breakfast!
conversation,conversation,what will you eat then
conversation,conversation,i am certainly having eggs! hopefully my chickens will have eggs.
conversation,conversation,nice let me have some fresh eggs
conversation,conversation,i raise the chickens on my farm here in kansas.
conversation,conversation,nice where do you work
conversation,conversation,i work right here at home on the family farm in kansas.
conversation,conversation,do you listen to music
conversation,conversation,all the time in my truck that i know how to drive.
conversation,conversation,what kind of truck is it
conversation,conversation,the kind of truck that can handle on dirty farm in kansas!
conversation,conversation,wow you sound like a cool guy
conversation,conversation,"i am just a regular farmer from kansas, born right here."
conversation,conversation,"hello, how is it going?"
conversation,conversation,"hello there, good thanks! yourself?"
conversation,conversation,just took a long refreshing walk
conversation,conversation,nice! i just got off work at the coffee shop as a barista.
conversation,conversation,cool i love iced coffee
conversation,conversation,me too! i also enjoy designing jewelry during any spare time i have.
conversation,conversation,i am carefree and happy all the time
conversation,conversation,every once in a while i love to go to craft shows that occur on the weekend.
conversation,conversation,ok. i like listening to music on the lake
conversation,conversation,i prefer reading. i especially love the bible.
conversation,conversation,you can never go wrong with the bible
conversation,conversation,i usually stay at home with my boyfriend in our apartment.
conversation,conversation,cool do you knit by any chance?
conversation,conversation,no i do not. i would love to learn.
conversation,conversation,it is very simple and easy
conversation,conversation,i bet once you get the hang of it.
conversation,conversation,hi how are you today?
conversation,conversation,hi how are you!?
conversation,conversation,"i am great thank you, what is your favorite color?"
conversation,conversation,i am great! my favorite color is purple.
conversation,conversation,mine too! i wear a lot of that color. ll
conversation,conversation,i just got off work from the coffee shop and i am tired.
conversation,conversation,i bet. i have been studying to become a doctor.
conversation,conversation,i am going to school for teaching. its what my parents do.
conversation,conversation,that is great. what is your favorite music genre?
conversation,conversation,grunge. i am actually in a band with my sister.
conversation,conversation,very cool! i love van haven.
conversation,conversation,i have got homework to do. bye!
conversation,conversation,howdy! hope are well this fine day
conversation,conversation,hello! any plans for today?
conversation,conversation,"i am planning to fix my corvette, i am a experienced mechanic you see. any plans yourself?"
conversation,conversation,nice! i will be going to my christian church this afternoon
conversation,conversation,do you go regularly? do you have any hobbies?
conversation,conversation,"i go every weekend. and i do, i love watching scary movies and you?"
conversation,conversation,i love to surf as i am currently living on coast of california
conversation,conversation,"that sounds so fun! i have been reading stephen king books, they are my favorite"
conversation,conversation,it is fun! lol. i personally prefer watching tv myself
conversation,conversation,tv is too much technology for me
conversation,conversation,how about a toaster? lol
conversation,conversation,i have used it once or twice
conversation,conversation,"hello! despite my age, i love meeting new people"
conversation,conversation,that is cool. do you eat meat? i like it too much. lol
conversation,conversation,i actually do not because i am really into animals
conversation,conversation,oh you must be a vegan.
conversation,conversation,it is rare for my age but i want to save the earth for my family.
conversation,conversation,"i would be a vegan too, but pork just tastes too good to me."
conversation,conversation,do you have any family?
conversation,conversation,"it is wonderful to eat lots of fruits and vegetables, but i am too lazy."
conversation,conversation,well maybe one day you will feel like it. retirement helped inspire me.
conversation,conversation,i live with my parents and do all the shopping for the household.
conversation,conversation,that sounds nice! i am retired now so i am all on my own.
conversation,conversation,i have not even had a job yet. lol
conversation,conversation,well your time will come! i used to program computers.
conversation,conversation,it might not. i play the lottery and hope to win instead of work.
conversation,conversation,hello how are you today?
conversation,conversation,i am doing better now. just had a mild asthma attack
conversation,conversation,oh no! glad to hear you are better
conversation,conversation,"thank you, i enjoy dance way too much and i just over did it"
conversation,conversation,"i understand, i have bad allergies and living in a rural area does not help"
conversation,conversation,i think it has something to do with being 6 feet tall
conversation,conversation,where i work we could use some people who are six feet tall
conversation,conversation,i am good at running and was a hockey player. do i suit the position?
conversation,conversation,at amazon we always need good runners
conversation,conversation,then maybe i will apply!
conversation,conversation,"great, they have good work life balance"
conversation,conversation,what else do you enjoy?
conversation,conversation,i love playing with my kids
conversation,conversation,"nice, how many do you have?"
conversation,conversation,hi how are you today? sorry!!
conversation,conversation,i am well. listening to some blues this morning
conversation,conversation,is that your favorite music?
conversation,conversation,actually my favorite is prince. do u have any hobbies?
conversation,conversation,i love baseball its the best!
conversation,conversation,do u play or just like to watch?
conversation,conversation,i love the watch. go nats!
conversation,conversation,nice! do u speak any other languages?
conversation,conversation,i do not but i would love to learn. you?
conversation,conversation,i can only speak english and spanish. what do u do for work?
conversation,conversation,i work for the government but do not tell anyone
conversation,conversation,i certainly wo not! i do data entry its a tad boring. yours sounds exciting.
conversation,conversation,yeah but i always gotta watch my back
conversation,conversation,oh no! sounds a bit unsafe!
conversation,conversation,yeah it keeps me on edge that is why i watch baseball
conversation,conversation,i can imagine so! i would love to learn to cook chinese. my mom was half chinese.
conversation,conversation,"hi! i am sitting here enjoying my favorite drink, a caramel cappuccino. you?"
conversation,conversation,hi how are you today?
conversation,conversation,doing pretty good since i got off of work from the coffee shop an hour ago.
conversation,conversation,do you have any pets then?
conversation,conversation,no. do you? do you live near your parents? mine are living across the street.
conversation,conversation,i have a huge husky it is sweet
conversation,conversation,i love huskies! do you read books? i love books about true crime.
conversation,conversation,i mostly just play my nintendo
conversation,conversation,old or new version? i love playing on both. did you get the new old system?
conversation,conversation,"i play both, and no those ran out too fast"
conversation,conversation,"i got the first old one, but i did not care to get the super nes."
conversation,conversation,yeah they share similar games anyway
conversation,conversation,yea and a rip off since it is more than the first version was.
conversation,conversation,yeah they just want our beautiful money
conversation,conversation,yep. what is your favorite food?
conversation,conversation,probably fish it is great
conversation,conversation,hi how are you today
conversation,conversation,i am fine thank you i am a older woman.
conversation,conversation,where do you work at
conversation,conversation,i am living on a social security check not good.
conversation,conversation,why do you not work
conversation,conversation,i used to work but then i became disabled.
conversation,conversation,how did you get disabled then
conversation,conversation,i baby sit for a woman who lives close to me.
conversation,conversation,do you enjoy doing that
conversation,conversation,sometimes it is okay i love children.
conversation,conversation,how many do you have
conversation,conversation,i have one child a girl well she is a woman now.
conversation,conversation,nice do you have any pets
conversation,conversation,yes i have a cat my best color is yellow what is yours?
conversation,conversation,"hi there, how is your evening going?"
conversation,conversation,doing ok. just going thru my cd collection.
conversation,conversation,you still own a cd collection?
conversation,conversation,"yeah, a large one. i record myself playing the bass."
conversation,conversation,oh wow. that is cool. i wish i had time to learn an instrument like that
conversation,conversation,its not hard. i love the beatles so i learned listening to them.
conversation,conversation,wow. i listen to the beatles in my ford mustang on my way to work
conversation,conversation,in my spare time i collect vintage furniture and stamps.
conversation,conversation,"i wish i could collect ford mustangs. even though i work 3 jobs, i am still broke"
conversation,conversation,i just have a ford focus.
conversation,conversation,i would walk way more than 2 miles a day if i had a ford focus
conversation,conversation,this new one is more computer than car.
conversation,conversation,"i want to see, but i have worked 3 jobs at the same time for over 5 years!!!!!!"
conversation,conversation,are they not paying you enuf?
conversation,conversation,clearly not. maybe i just go to the movies way too much
conversation,conversation,ah. i would ask for a raise.
conversation,conversation,"hello, i am donna. what music do you like listening to?"
conversation,conversation,"i am not much into music, but i love reading and telling stories."
conversation,conversation,favorite band is the rolling stones. it started my love for playing guitar.
conversation,conversation,"oh, do you play often? what do you do for work?"
conversation,conversation,a nurse. my mother worked as a nurse. so they inspired me to be one as well.
conversation,conversation,what a nice story! i hope i can inspire my daughters as well!
conversation,conversation,i am sure you already are.
conversation,conversation,"i am an english teacher, but i want to be a writer one day. do you like stories?"
conversation,conversation,i do. what type of writer do you want to be?
conversation,conversation,"well, probably a story about losing my husband a few years ago."
conversation,conversation,oh no. i am so sorry to hear that.
conversation,conversation,"thanks. its ok, i still have my daughters"
conversation,conversation,that is right.
conversation,conversation,do you have any kids?
conversation,conversation,"hello there, how is your day going?"
conversation,conversation,so far so good. sitting here reading a book
conversation,conversation,"me too actually, at the hospital. crashed my car for a second time"
conversation,conversation,oh no hope you are going to be ok.
conversation,conversation,"me too, i feel like i have been watching too much tv"
conversation,conversation,my husband is working the night shift as a cop
conversation,conversation,"so, you are lonely? you need to play some sports and get outside like me."
conversation,conversation,i love to go to the beach when it warms up i plan on going
conversation,conversation,"well that is good. water is essential for life, as well as food you know"
conversation,conversation,yes! when i am not at the beach i love to teach it is my passion
conversation,conversation,"i hate teaching actually, students are quite annoying"
conversation,conversation,"yes, they can be for sure"
conversation,conversation,where do you come from?
conversation,conversation,i am from the midwest and you?
conversation,conversation,i just spent the last 4 hours cleaning! i am so happy!!!
conversation,conversation,you are amazing! good work?
conversation,conversation,oh yes! i am going to watch 4 movies this afternoon. you?
conversation,conversation,you are perhaps repeating the number 4 for some reason? i am going to be famous.
conversation,conversation,doing what? i am way to exhausted to be famous. so so tired.
conversation,conversation,maybe you need some coffee and then you will be famous!
conversation,conversation,"maybe, i can get that from mcdonalds! i eat there every night."
conversation,conversation,do you like being outside? i hike.
conversation,conversation,"no, it is too dirty! where do you hike?"
conversation,conversation,in new zealand. someday my photographs will be in an adam levin video.
conversation,conversation,goals!! that just sounds like exhausting work. i am tired thinking about it.
conversation,conversation,i think with enough coffee and booze anything is possible
conversation,conversation,so very true. i think adam levin should be in so many movies.
conversation,conversation,i actually do not know about that. i want amy adams in more movies.
conversation,conversation,"she is good too. hey, do you have a drinking problem?"
conversation,conversation,a drinking coffee problem it is giving me ulcers
conversation,conversation,i love my french bulldog macy
conversation,conversation,is it expensive to have a dog? sounds expensive.
conversation,conversation,yes my foot size is a 10
conversation,conversation,did you pay full price for your shoes?
conversation,conversation,i did i went to sears
conversation,conversation,i do not like to pay full price for things that i buy
conversation,conversation,i do not either but these were cute
conversation,conversation,"there is always something better to do with the leftover money, something that will help everyone."
conversation,conversation,oh i agree charities are the best
conversation,conversation,"i agree with you, i donate as much as possible"
conversation,conversation,i am listening to red hot chilli peppers
conversation,conversation,i am listening to a new band i discovered called cold cave
conversation,conversation,is it awesome? i bet it is
conversation,conversation,"its pretty good, something a little different"
conversation,conversation,how are you doing today
conversation,conversation,i am great! i have been taking care of my grandma. how are you?
conversation,conversation,i am good. i teach kids.
conversation,conversation,that is so great! i work at the bank down the street.
conversation,conversation,how do you like that?
conversation,conversation,i would rather be home to take care of my grandma more. she lives in my guesthouse.
conversation,conversation,that must be a lot of fun
conversation,conversation,it is nice to have her here. what are your hobbies?
conversation,conversation,i like to be outdoors most of the time
conversation,conversation,that is nice. i enjoy collecting teapots and spending time with my cats.
conversation,conversation,how many cats do you have
conversation,conversation,i have 3 but i used to have 4. my ex husband took one in the divorce.
conversation,conversation,do you miss the cat
conversation,conversation,yea very much so. it has been 2 years since seeing her.
conversation,conversation,that would be so very sad
conversation,conversation,yeah it was. at least i have my 3 and my grandma to keep me company.
conversation,conversation,hi! i have four children two human and two canine.
conversation,conversation,that is wonderful that you consider your dogs kids
conversation,conversation,they truly are like kids sometimes. do you have pets?
conversation,conversation,"no, i do not but i love them and hope to get one"
conversation,conversation,"dog or cat? i love cats, too."
conversation,conversation,all animals? i am an advocate for them as well through my job at peta
conversation,conversation,you work at peta? great! i teach elementary school.
conversation,conversation,that is rewarding! and yes i do i also like to make clothing on the side
conversation,conversation,sounds like you are busy. what kind of clothes?
conversation,conversation,"yes, i try to stay busy. i make kids clothing"
conversation,conversation,do you have many customers?
conversation,conversation,"yes, i get alot of customers online."
conversation,conversation,good. internet is the best way to find stuff.
conversation,conversation,"yes, it also helps me with ideas for my vegan meals!"
conversation,conversation,i have never tried vegan diet. what is your favorite dish?
conversation,conversation,i love to make vegan burgers with soy beans and other vegetables
conversation,conversation,"hello, how are you today?"
conversation,conversation,"hi, i am great. looking forward to going to see some horror movies for halloween."
conversation,conversation,that sounds like fun. i am currently into silicon valley.
conversation,conversation,"oh, nice. is that where you are from? i still live with my grandmother."
conversation,conversation,"i live at home with my two sisters and my mother, who is a dentist."
conversation,conversation,interesting? do you work? i would like to become a music teacher.
conversation,conversation,i work in a bakery. also i play tennis a lot. you have any hobbies?
conversation,conversation,i enjoy playing the violin. do you have a favorite color?
conversation,conversation,my favorite color is orange. you have any siblings?
conversation,conversation,i like red orange! i have a younger brother.
conversation,conversation,so are you still in school?
conversation,conversation,"yes, studying music education. how about you?"
conversation,conversation,i wish. my work as a baker takes up to much of my time.
conversation,conversation,you probably have to get up early. i stay up late watching movie often.
conversation,conversation,yes i do. i stay up too late sometimes binge watching silicon valley.
conversation,conversation,"i watch a lot of horror flicks, have not seen silicon valley"
conversation,conversation,"hey there, what do you do for a living?"
conversation,conversation,hey! just a artist living my life. how about you?
conversation,conversation,"i am working for ibm, but i hope to retire within the next 10 years."
conversation,conversation,nice! i would love to retire early and spent the rest of days with my cat.
conversation,conversation,yeah i am thinking hawaii sounds nice. but i may be too tall to surf.
conversation,conversation,i agree. my cat would love the sun and beach too. bet their nights are great too.
conversation,conversation,"yeah, the beach will be very different then where i am in chicago."
conversation,conversation,yes and way different than nyc. but the nighttime here is freakin great.
conversation,conversation,haha yeah last time i was in nyc everyone thought i played for the knicks.
conversation,conversation,really! you must be very athletic then.
conversation,conversation,not at all. i am just really tall. about 7 feet.
conversation,conversation,oh my god! that is huge! maybe you should play basketball professionally.
conversation,conversation,i do not think i would be very good.
conversation,conversation,practice can always help. but i am sure competition might be intimidated.
conversation,conversation,hello there how are you doing today?
conversation,conversation,"i am doing great, just got home from my favorite store, costco."
conversation,conversation,oh cool i love costco i go there to get cakes i really enjoy a good cake
conversation,conversation,"mmmm cake. on the way home i listened to jacob sartorius, my favorite singer."
conversation,conversation,i will have to look him up later. my niece and nephew may know him.
conversation,conversation,its not worth looking up. the pastime activity i enjoy the most is simply cloud watching.
conversation,conversation,amazing i watch clouds all day. i am about to finish my degree for meteorology.
conversation,conversation,its not all the different than my idea of flirting.. to stare from a distance
conversation,conversation,oh i need a bit more than look on. have any family? i have a sister
conversation,conversation,yes i have 7 children and i am really struggling
conversation,conversation,i am sorry to hear that. i am also struggling here watching my parents in their last moments.
conversation,conversation,i am nothing but a snake oil salesman with a dead end 9 5
conversation,conversation,i hope you find something worthwhile soon. i know its hard
conversation,conversation,quietly sobbing in dark cubicle
conversation,conversation,hurry up. i need to go meet up with my friends
conversation,conversation,where are your friends? i have to go work on an electrical unit.
conversation,conversation,in lower manhattan. they are at a new bar
conversation,conversation,that is cool. my dad worked doing dry wall but i chose to go into electrical.
conversation,conversation,i do meetings. i get you and another guy on point to meet up.
conversation,conversation,my mom is a nurse and she is good at what she does. cool.
conversation,conversation,my mom lives over in seattle and i visit her whenever i can
conversation,conversation,meetings for what? i go to school and study history.
conversation,conversation,i coordinate anyone anywhere. i help the doers in the world make connections
conversation,conversation,sounds exciting. i play a lot of softball in my free time. you?
conversation,conversation,travel. i love getting out on my bike and just driving
conversation,conversation,nice. i bet that just lets all the worry disappear for awhile.
conversation,conversation,"oh, yea! sometimes gotta leave the husband and kids behind and just embrace the road"
conversation,conversation,i wish i could do that.
conversation,conversation,hi... how are you doing today?
conversation,conversation,hello! i am well. just developing some of my film.
conversation,conversation,oh nice... i really love to draw
conversation,conversation,do you draw thunderstorms? i like listening to them.
conversation,conversation,i mainly draw things that are blue
conversation,conversation,blue is pretty. do you want to know something crazy?
conversation,conversation,yes i love blue... sure tell me
conversation,conversation,i almost burned down my house yesterday.
conversation,conversation,oh wow that is crazy one of my 4 sisters did that before
conversation,conversation,"i am not a morning person, and forgot my candles were burning all night."
conversation,conversation,we are not allowed to have candles in my apartment
conversation,conversation,i should stop using them. but i save on electricity.
conversation,conversation,well candles are a good way to do that
conversation,conversation,"yeah, it helps with the bills. what do you do for fun?"
conversation,conversation,sometimes i help in my mom classroom she is a teacher
conversation,conversation,that is nice of you. what does she teach?
conversation,conversation,hello my name is jake how are u
conversation,conversation,i am great. i needed to take a break from studying
conversation,conversation,i know the feeling just took my husky tyrion on a walk
conversation,conversation,i bet that gives you good exercise. i get most of mine biking to school
conversation,conversation,sadly i did not get that luxury in canada the roads are steep
conversation,conversation,oh you are in canada? i am lucky my school is only a mile from me
conversation,conversation,"yeah and school was 13 miles away, whats your favorite food?"
conversation,conversation,anything that is quick. that i can eat while i am on my new laptop
conversation,conversation,nice i love my laptop as much as i love tilapia
conversation,conversation,haha tilapia is yummy. my laptop is great but the battery is horrible
conversation,conversation,haha i know that my rc cars would lose races if their battery was like my laptop
conversation,conversation,that sounds like a lot of fun. i am a writer during my spare time
conversation,conversation,i got into it helping my nephew so we race together
conversation,conversation,that is a really great bonding experience.
conversation,conversation,yeah i do not have kids so its nice
conversation,conversation,me neither. so what do you look like?
conversation,conversation,"hey there, tell me about yourself"
conversation,conversation,"hello, how are you tonight?"
conversation,conversation,"i am tired, i am studying philosophy at mass.. lots of homework"
conversation,conversation,"that seems tough. i am a scientist, so know the struggle of long days"
conversation,conversation,you think you know the struggle? are you even vegan? i am actually vegan
conversation,conversation,"no, i am not. i am pretty well built though"
conversation,conversation,really? what color are your eyes? mine are brown
conversation,conversation,brown eyes.. just like the beatles song. i love them
conversation,conversation,"wow, you know what i love? going to concerts.."
conversation,conversation,too bad the beatles are not around anymore. we could go together.
conversation,conversation,"i am pretty wild, i do not know if you could hang"
